x,y
1,2.0
1,2.0
1,2.0
9,3.5555555555555554
10,2.9
1,2.0
4,1.75
11,2.6363636363636362
1,2.0
7,3.857142857142857
1,2.0
19,3.1578947368421053
19,3.3157894736842106
1,2.0
8,3.5
9,3.111111111111111
10,2.6
1,2.0
4,4.0
1,2.0
6,5.5
2,1.5
1,2.0
20,4.25
7,2.857142857142857
6,4.166666666666667
10,2.9
2,5.0
1,3.0
4,1.75
8,4.5
8,4.5
19,3.1052631578947367
3,5.0
1,3.0
1,2.0
13,3.6923076923076925
6,2.5
9,3.0
1,2.0
11,5.090909090909091
8,3.25
26,3.769230769230769
1,3.0
5,2.0
1,5.0
1,7.0
1,6.0
1,3.0
13,3.0
4,2.5
2,4.5
1,3.0
29,2.8620689655172415
8,2.75
2,2.0
1,3.0
1,3.0
1,3.0
2,1.0
1,2.0
1,1.0
1,5.0
1,2.0
13,2.769230769230769
18,3.388888888888889
3,2.6666666666666665
1,2.0
11,3.3636363636363638
9,3.0
3,2.6666666666666665
1,2.0
10,3.4
1,2.0
1,2.0
1,2.0
3,3.6666666666666665
1,2.0
3,4.0
8,2.5
1,2.0
3,3.6666666666666665
12,2.3333333333333335
1,2.0
2,2.0
28,3.0714285714285716
5,3.6
6,2.5
13,2.6923076923076925
7,2.2857142857142856
10,2.9
2,3.5
1,2.0
2,6.0
1,2.0
5,3.6
1,4.0
4,2.75
2,2.0
1,2.0
2,4.0
6,2.5
6,2.3333333333333335
2,2.5
10,3.7
2,4.5
2,2.5
8,3.125
11,3.1818181818181817
12,3.6666666666666665
7,3.5714285714285716
5,2.4
7,4.714285714285714
1,3.0
1,3.0
1,3.0
1,3.0
1,3.0
2,2.0
24,2.5416666666666665
1,2.0
6,2.8333333333333335
9,4.0
12,2.5
10,2.7
6,3.0
12,2.5
2,4.5
9,2.6666666666666665
13,2.8461538461538463
4,2.5
8,2.75
5,2.8
3,2.0
6,3.0
21,3.0952380952380953
4,5.0
1,3.0
1,2.0
4,2.0
1,3.0
1,3.0
10,3.2
9,3.0
14,2.9285714285714284
1,2.0
4,4.5
17,3.6470588235294117
1,2.0
9,4.333333333333333
1,2.0
7,2.0
10,3.9
1,2.0
1,3.0
12,3.3333333333333335
1,2.0
1,2.0
1,2.0
2,3.5
15,3.0
8,3.625
1,2.0
1,2.0
7,3.0
6,3.3333333333333335
1,2.0
2,4.0
9,3.6666666666666665
1,2.0
4,2.75
3,2.6666666666666665
4,1.75
1,2.0
2,4.5
1,1.0
1,8.0
1,8.0
14,3.142857142857143
4,3.0
8,3.625
5,2.8
3,4.0
7,2.5714285714285716
14,3.0714285714285716
4,3.75
17,2.9411764705882355
14,3.4285714285714284
3,3.0
17,2.8823529411764706
1,3.0
1,3.0
1,3.0
9,3.4444444444444446
2,3.0
7,3.7142857142857144
18,3.5555555555555554
6,2.6666666666666665
11,3.5454545454545454
21,2.6666666666666665
6,3.1666666666666665
2,5.0
2,2.5
9,2.888888888888889
1,3.0
11,3.1818181818181817
1,2.0
1,1.0
11,3.4545454545454546
1,3.0
11,2.8181818181818183
1,2.0
16,2.5625
1,2.0
16,3.6875
6,3.6666666666666665
6,2.8333333333333335
5,2.4
1,2.0
5,4.6
3,4.333333333333333
9,3.3333333333333335
1,7.0
1,3.0
12,2.8333333333333335
21,2.8095238095238093
7,2.857142857142857
10,2.3
5,2.4
11,2.272727272727273
8,4.375
8,2.5
1,3.0
16,3.3125
3,2.3333333333333335
1,3.0
4,2.25
1,3.0
1,3.0
1,3.0
21,3.1904761904761907
13,2.923076923076923
11,3.909090909090909
11,3.1818181818181817
10,2.7
10,2.7
8,2.875
17,3.5294117647058822
6,3.0
17,3.0
6,2.5
7,3.142857142857143
5,2.6
1,2.0
23,2.9130434782608696
2,3.5
3,1.0
7,3.0
1,7.0
8,2.625
